Number of players,,All,41,EN,15,CN,14,JP,12,Language Usage,,
Unit,,Count,Usage,EN-Count,EN-Usage,CN-Count,CN-Usage,JP-Count,JP-Usage,EN,CN,JP
,Fir Feroxi Harmonic,1,2.44%,1,6.67%,0,0.00%,0,0.00%,100.00%,0.00%,0.00%
,Flora,1,2.44%,1,6.67%,0,0.00%,0,0.00%,100.00%,0.00%,0.00%
,Gatekeeper Winter,1,2.44%,1,6.67%,0,0.00%,0,0.00%,100.00%,0.00%,0.00%
,Hector Attuned,1,2.44%,1,6.67%,0,0.00%,0,0.00%,100.00%,0.00%,0.00%
,Hilda,1,2.44%,1,6.67%,0,0.00%,0,0.00%,100.00%,0.00%,0.00%
,Hilda Summer Duo,1,2.44%,1,6.67%,0,0.00%,0,0.00%,100.00%,0.00%,0.00%
,Hinoka Rearmed,1,2.44%,1,6.67%,0,0.00%,0,0.00%,100.00%,0.00%,0.00%
,Hortensia Winter,1,2.44%,0,0.00%,0,0.00%,1,8.33%,0.00%,0.00%,100.00%
,Hraesvelgr Mythic,1,2.44%,1,6.67%,0,0.00%,0,0.00%,100.00%,0.00%,0.00%
,Joshua Ascended,1,2.44%,1,6.67%,0,0.00%,0,0.00%,100.00%,0.00%,0.00%
,Karel,1,2.44%,0,0.00%,1,7.14%,0,0.00%,0.00%,100.00%,0.00%
,Lachesis,1,2.44%,1,6.67%,0,0.00%,0,0.00%,100.00%,0.00%,0.00%
,Leo Young,1,2.44%,1,6.67%,0,0.00%,0,0.00%,100.00%,0.00%,0.00%
,Leonie Summer,1,2.44%,1,6.67%,0,0.00%,0,0.00%,100.00%,0.00%,0.00%
,Lif Valentine's Duo,1,2.44%,0,0.00%,0,0.00%,1,8.33%,0.00%,0.00%,100.00%
,Lyn,1,2.44%,0,0.00%,0,0.00%,1,8.33%,0.00%,0.00%,100.00%
,Lyn Brave,1,2.44%,0,0.00%,0,0.00%,1,8.33%,0.00%,0.00%,100.00%
,Lyn Emblem,1,2.44%,0,0.00%,0,0.00%,1,8.33%,0.00%,0.00%,100.00%
,Lyn Flame,1,2.44%,0,0.00%,0,0.00%,1,8.33%,0.00%,0.00%,100.00%
,Lyn Ninja Duo,1,2.44%,0,0.00%,0,0.00%,1,8.33%,0.00%,0.00%,100.00%
,Lyn Summer,1,2.44%,0,0.00%,0,0.00%,1,8.33%,0.00%,0.00%,100.00%
,Meliai,1,2.44%,1,6.67%,0,0.00%,0,0.00%,100.00%,0.00%,0.00%
,Mia Hoshidan Summer,1,2.44%,0,0.00%,0,0.00%,1,8.33%,0.00%,0.00%,100.00%
,Nino Summer,1,2.44%,1,6.67%,0,0.00%,0,0.00%,100.00%,0.00%,0.00%
,Noire Rearmed,1,2.44%,0,0.00%,0,0.00%,1,8.33%,0.00%,0.00%,100.00%
,Nyx,1,2.44%,1,6.67%,0,0.00%,0,0.00%,100.00%,0.00%,0.00%
,Reinhardt Rearmed,1,2.44%,1,6.67%,0,0.00%,0,0.00%,100.00%,0.00%,0.00%
,Robin (M) Brave,1,2.44%,0,0.00%,1,7.14%,0,0.00%,0.00%,100.00%,0.00%
,Serra,1,2.44%,1,6.67%,0,0.00%,0,0.00%,100.00%,0.00%,0.00%
,Soren Rearmed,1,2.44%,0,0.00%,0,0.00%,1,8.33%,0.00%,0.00%,100.00%
,Tiki (A) Bridal Harmonic,1,2.44%,1,6.67%,0,0.00%,0,0.00%,100.00%,0.00%,0.00%
,Tiki (Y) Ancient Attuned,1,2.44%,1,6.67%,0,0.00%,0,0.00%,100.00%,0.00%,0.00%
,Veyle Spring,1,2.44%,0,0.00%,0,0.00%,1,8.33%,0.00%,0.00%,100.00%
,Abel,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Aelfric,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Alcryst Groom,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Alcryst Rearmed,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Alear (F),0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Alear (F) Fallen,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Alear (F) Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Alear (F) Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Alear (M),0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Alear (M) Fallen,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Alear (M) Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Alear (M) Winter Duo,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Alfonse,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Alfonse Brave,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Alfonse New Year Duo,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Alfonse Spring,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Alfonse Valentine's,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Alfred Rearmed,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Alm,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Alm Brave,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Alm Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Alm Valentine's Duo,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Altena,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Altina Mythic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Altina Nabata,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Altina Winter Harmonic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Amelia,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Amelia Ascended,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Anankos Fallen,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Anna,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Anna Apotheosis,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Anna Bridal,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Anna Halloween Harmonic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Anna New Year,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Annand,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Annette,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Annette Winter,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Arden,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ares,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Arete,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Arion,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Arlen,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Arthur,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Arthur (Genealogy),0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Artur Winter,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Arval Mythic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Arvis,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Asbel,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ash Mythic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ash New Year,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ashe,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ashe Spring,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ashe Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ashera Mythic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ashnard Fallen,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Askr Halloween,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Askr Mythic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Astram,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Astrid,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Athena,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
