Number of players,,All,41,EN,15,CN,14,JP,12,Language Usage,,
Unit,,Count,Usage,EN-Count,EN-Usage,CN-Count,CN-Usage,JP-Count,JP-Usage,EN,CN,JP
,Cyril,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Dagdar,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Dagr Aided,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Dagr Mythic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Dagr New Year Duo,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Dagr Wind,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Darros Pirate,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Death Knight,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Dedue,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Dedue Fallen Rearmed,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Dedue Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Deen Hatari,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Deirdre,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Deirdre Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Delthea,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Delthea Fallen,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Delthea Spring,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Dew,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Dheginsea Halloween,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Diamant,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Diamant Ninja,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Dieck,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Dimitri,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Dimitri Brave,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Dimitri Fallen,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Dimitri Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Dimitri Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Dimitri Valentine's,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Dimitri Winter,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Dithorba,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Donnel,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Donnel Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Dorcas,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Dorcas Halloween,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Dorothea,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Dorothea Plegian Harmonic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Dorothea Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Dorothea Winter,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Dorothy,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Dozla Halloween,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Draug,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Duessel,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Duma Halloween Duo,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Duma Mythic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Dwyer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Echidna,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Edain,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Edelgard,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Edelgard Brave,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Edelgard Fallen,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Edelgard Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Edelgard Summer Harmonic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Edelgard Winter,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Edward,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Effie,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Effie Valentine's,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Eikthyrnir Mythic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Eikthyrnir Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Eikthyrnir Winter,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Eir Ascended,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Eir Mythic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Eir New Year,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Eirika,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Eirika Attuned,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Eirika Brave,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Eirika Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Eirika Red Tome,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Eirika Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Eirika Winter,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Eirika Young Duo,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Eitr Rearmed,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Eitr Spring,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Eitri Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Eldigan,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Eldigan Masquerade,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Eleonora,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Elffin,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Elice,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Elimine Mythic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Elincia,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Elincia Ascended,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Elincia Hoshidan Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Elincia Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Elincia Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Elise,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Elise Hostile Springs,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Elise Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Elise Young,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Eliwood,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Eliwood Brave,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Eliwood Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Eliwood Valentine's,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Eliwood Young,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Elm Mythic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Elm New Year,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Embla Bridal,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Embla Mythic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Emmeryn,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Emmeryn Young,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ena Halloween,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ephraim,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ephraim Brave,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ephraim Duo,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ephraim Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ephraim Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ephraim Valentine's,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ephraim Winter,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Eremiya,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Erinys,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Erk,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Est,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Est Spring,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Est Valentian,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ethlyn,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ethlyn Masquerade,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Etie,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ewan,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Excellus,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Eyvel,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Fae,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Fae Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Fae Winter,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Fafnir,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Fafnir New Year,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Fargus,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Farina,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Faye,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Faye Valentine's,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Febail,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Fee,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Felicia,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Felicia Ice,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Felicia Picnic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Felix,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Felix Brave,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Felix Teatime,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Felix Winter,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ferdinand,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ferdinand Teatime,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Fernand,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Finn,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Finn Teatime,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Fiora,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Fiora Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Fir,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Fir Ascended,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Fir Spring,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Fjorm Ascended,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Fjorm Bridal,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Fjorm Ice Duo,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Fjorm Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Fjorm New Year,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Fjorm Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Flame Emperor,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Flavia,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Flavia Bridal,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Flayn,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Flayn Halloween,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Flora Ice,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Flora Picnic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Florina,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Florina Ascended,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Fogado,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Fogado Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Fomortiis Mythic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Fomortiis Winter,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Forde,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Forrest,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Forsyth,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Framme Spring,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Frederick,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Frederick Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Frederick Young,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Freyja Mythic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Freyja Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Freyr Mythic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Freyr Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Fuga Wind,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Gaius,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Gaius Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Galle,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Galzus,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ganglot Rearmed,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Gangrel,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Garon,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Gatekeeper Brave,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Gatrie,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Geese Pirate,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Genny,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Genny Picnic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Geoffrey,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Gerik,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Gerome,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Gharnef,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Gilliam,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ginnungagap Rearmed,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Glen,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Goldmary Summer Harmonic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Gonzalez,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Gordin,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Gotoh Ancient,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Gotoh Mythic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Gray,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Gregor,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Greil Valentine's,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Grima (F),0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Grima (M),0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Griss,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Gromell,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Guinivere,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Guinivere Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Gullveig Brave,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Gullveig Mythic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Gullveig Ninja Duo,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Gullveig Summer Duo,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Gunnthra Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Gunnthra New Year,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Gunnthra Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Gunter,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Gustav Fallen,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Gustav Valentine's,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Guy,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Gwendolyn,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Haar,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Haar Ninja,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Haitaka,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Hana,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Hana Ninja,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Hana Valentine's,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Hans,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Hapi,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Hapi Summer Duo,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Hardin,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Hardin Fallen,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Harken,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Hawkeye,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Hawkeye Nabata,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Hayato,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Heath,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Heath Ninja,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Heather Ninja,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Hector,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Hector Brave,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Hector Halloween Duo,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Hector Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Hector Valentine's,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Hector Young,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Heidr Mythic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Heidrun Mythic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Heidrun Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Hel Mythic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Helbindi,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Helbindi Spring,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Henriette Valentine's,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Henry,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Henry Halloween,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Henry Spring,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Hestia,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Hilda (Genealogy),0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Hilda Ascended,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Hilda Winter,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Hinata,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Hinata Groom,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Hinoka,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Hinoka Bow,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Hinoka Hostile Springs,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Hinoka Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Hinoka Pirate Duo,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Hodr Mythic,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Holst,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Homer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Hortensia Rearmed,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Hraesvelgr New Year,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Hrid Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Hrid New Year,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Hrid Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Hubert,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Hubert Valentine's,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Hugh,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Iago,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Idunn,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Idunn Ascended,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Idunn Spring Duo,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ignatz,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ignatz Winter,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Igrene,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Igrene Ninja,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ike,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ike Brave,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ike Emblem,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ike Fallen,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ike Jehanna,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ike Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ike Valentine's,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ike Young Duo,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ilyana,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ilyana Halloween,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ilyana Young,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ingrid,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ingrid Rearmed,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ingrid Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Inigo,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Inigo Performing,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Inigo Spring,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Innes,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Innes New Year,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Innes Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Innes Young,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Isadora,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ishtar,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ishtar Ascended,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ishtar Soiree,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Itsuki,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ivy Attuned,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Ivy Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Jaffar,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Jaffar Winter,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Jagen,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Jakob,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Jakob Halloween,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Jamke,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Jarod,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Jedah,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Jeorge,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Jeralt,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Jesse,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Jill,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Jorge,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Joshua,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Joshua Summer,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Julia,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Julia Bridal Duo,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Julia Fallen,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Julia Legendary,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Julia Scion,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Julian,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Julius,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Juno Bridal,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Juno Nabata,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Kaden,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Kaden New Year,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Kagero,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Kagero Halloween,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Kagero Spring,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Kagero Wind Duo,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Kagetsu,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Kamui,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Kana (F),0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Kana (F) New Year,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Kana (M),0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Kana (M) New Year,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
,Karin,0,0.00%,0,0.00%,0,0.00%,0,0.00%,,,
